Frame #,Arm Pink X,Arm Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Leg Orange X,Leg Orange Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Back Pink X meters,Neck Green X meters,Shoulder Orange X meters,Leg Orange X meters,Arm Pink Y meters,Back Pink Y meters,Neck Green Y meters,Shoulder Orange Y meters,Leg Orange Y meters,angular velocity
53.0,353.8591003,1003.859131,529.8591309,1019.859131,531.666687,871.333313,379.9204407,875.4886475,428.3469849,1401.296265,1660006515866666.5,-0.8359488486325507,0.8666665,0.4507184634199996,0.6748937447301377,0.6771960704503094,0.4839133912593432,0.5455953928584545,-1.278638431598522,-1.2990179990834507,-1.1098372533843734,-1.1151299983759486,-1.7848632374341244,-0.031730516365634065
54.0,353.8591003,1003.859131,530.1774902,1020.406921,531.5,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515883333.5,-0.7695364201258049,0.8833335,0.4507184634199996,0.675299246282563,0.6769837573899743,0.4839133912593432,0.5455953928584545,-1.278638431598522,-1.2997157317879862,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,0.06641242850674578
55.0,354.3621521,1003.831299,529.916687,1020.269836,531.5,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515900000.0,-0.7702372659624295,0.9,0.4513592120516568,0.6749670552566452,0.6769837573899743,0.4839133912593432,0.5455953928584545,-1.278602981340882,-1.2995411234749443,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,-0.0007008458366245529
56.0,354.3621521,1003.831299,530.0,1020.0,531.5,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515916666.8,-0.771639919141288,0.91666675,0.4513592120516568,0.6750731729382622,0.6769837573899743,0.4839133912593432,0.5455953928584545,-1.278602981340882,-1.2991974271642028,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,-0.0014026531788585705
57.0,354.3160095,1003.939392,530.0,1020.0,531.5,871.0,379.1380615,873.3366699,427.6603088,1400.673096,1660006515933333.5,-0.7696980184630273,0.9333335,0.4513004391622424,0.6750731729382622,0.6769837573899743,0.4829168569027679,0.5447207577384396,-1.2787406618776411,-1.2991974271642028,-1.1094127049608045,-1.1123889750806202,-1.7840694927659984,0.0019419006782607218
58.0,354.3160095,1003.939392,530.1774902,1020.406921,531.5,872.0,379.1380615,873.3366699,427.6603088,1400.673096,1660006515950000.0,-0.7712507252596568,0.95,0.4513004391622424,0.675299246282563,0.6769837573899743,0.4829168569027679,0.5447207577384396,-1.2787406618776411,-1.2997157317879862,-1.1106864279286126,-1.1123889750806202,-1.7840694927659984,-0.0015527067966294439
59.0,354.5,1004.5,530.1774902,1020.406921,531.5,872.5,379.5360718,873.2611694,427.8695679,1400.743286,1660006515966666.8,-0.7729766199021867,0.96666675,0.4515347920879509,0.675299246282563,0.6769837573899743,0.4834238117633021,0.5449872958603326,-1.2794547211631782,-1.2997157317879862,-1.111323289412517,-1.1122928083596892,-1.7841588953811087,-0.0017258946425299238
60.0,354.5,1004.5,530.0,1020.5,531.5,872.5,379.7172852,873.3080444,427.8695679,1400.743286,1660006515983333.2,-0.7729475806910467,0.98333325,0.4515347920879509,0.6750731729382622,0.6769837573899743,0.4836546274329567,0.5449872958603326,-1.2794547211631782,-1.299834288648107,-1.111323289412517,-1.112352514123805,-1.7841588953811087,2.903921113994734e-05
61.0,354.5,1004.5,530.0,1020.5,531.5,872.5,379.7019653,873.8274536,427.7528076,1401.028076,1660006516000000.0,-0.7729475806910467,1.0,0.4515347920879509,0.6750731729382622,0.6769837573899743,0.4836351141244621,0.5448385755844943,-1.2794547211631782,-1.299834288648107,-1.111323289412517,-1.113014097551536,-1.784521638945111,0.0
62.0,354.5,1004.5,530.0,1020.5,531.5,872.5,379.8089294,873.7398071,427.7329407,1401.12085,1660006516016666.8,-0.7729475806910467,1.01666675,0.4515347920879509,0.6750731729382622,0.6769837573899743,0.4837713567553631,0.5448132706576652,-1.2794547211631782,-1.299834288648107,-1.111323289412517,-1.112902460191438,-1.7846398073197265,0.0
