Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),Seconds
216.0,308.2380981,888.6190186,297.7069092,891.0344849,581.7177124,1045.105103,1660786907583333.2,3.58333325
217.0,308.2380981,888.6190186,297.7069092,891.0344849,581.7177124,1045.105103,1660786907600000.0,3.6
218.0,308.2380981,888.6190186,297.7069092,891.0344849,581.7836304,1045.017578,1660786907616666.5,3.6166665
219.0,308.2380981,888.6190186,297.7069092,891.0344849,581.7836304,1045.017578,1660786907633333.5,3.6333335
220.0,308.2380981,888.6190186,297.7069092,891.0344849,581.8046265,1045.091919,1660786907650000.0,3.65
221.0,308.2380981,888.6190186,297.7069092,891.0344849,581.8046265,1045.091919,1660786907666666.8,3.66666675
222.0,308.2380981,888.6190186,297.7069092,891.0344849,582.2146606,1045.033936,1660786907683333.5,3.6833335
223.0,308.2380981,888.6190186,297.7069092,891.0344849,582.8062744,1045.133911,1660786907700000.0,3.7
224.0,308.2380981,888.6190186,297.7069092,891.0344849,582.3834839,1044.26062,1660786907716666.8,3.71666675
225.0,308.2380981,888.6190186,297.7069092,891.0344849,582.631897,1044.336182,1660786907733333.2,3.73333325
226.0,308.2380981,888.6190186,297.7069092,891.0344849,583.3389282,1043.661011,1660786907750000.0,3.75
227.0,308.2380981,888.6190186,297.7069092,891.0344849,583.6958008,1043.608398,1660786907766666.8,3.76666675
228.0,308.2380981,888.6190186,297.7069092,891.0344849,583.2550659,1042.744873,1660786907783333.2,3.78333325
229.0,308.2380981,888.6190186,297.7069092,891.0344849,583.6558228,1042.184326,1660786907800000.0,3.8
230.0,308.2380981,888.6190186,297.7069092,891.0344849,583.3389282,1041.661011,1660786907816666.5,3.8166665
231.0,308.2380981,888.6190186,297.7069092,891.0344849,583.2371826,1041.24353,1660786907833333.2,3.83333325
232.0,308.2380981,888.6190186,297.7069092,891.0344849,583.2759399,1040.748657,1660786907850000.0,3.85
233.0,308.2380981,888.6190186,297.7069092,891.0344849,583.5,1040.5,1660786907866666.5,3.8666665
234.0,308.2380981,888.6190186,297.7069092,891.0344849,583.1577148,1039.5,1660786907883333.5,3.8833335
235.0,308.2380981,888.6190186,297.7069092,891.0344849,583.142395,1039.427246,1660786907900000.0,3.9
236.0,308.2380981,888.6190186,297.7069092,891.0344849,583.2371826,1039.24353,1660786907916666.8,3.91666675
237.0,308.2380981,888.6190186,297.7069092,891.0344849,583.142395,1039.427246,1660786907933333.5,3.9333335
238.0,308.2380981,888.6190186,297.7069092,891.0344849,583.2371826,1039.24353,1660786907950000.0,3.95
239.0,308.2380981,888.6190186,297.7069092,891.0344849,583.2371826,1039.24353,1660786907966666.8,3.96666675
240.0,308.2380981,888.6190186,297.7069092,891.0344849,583.2371826,1039.24353,1660786907983333.2,3.98333325
241.0,308.2380981,888.6190186,297.7069092,891.0344849,583.4158325,1039.422729,1660786908000000.0,4.0
242.0,308.2380981,888.6190186,297.7069092,891.0344849,583.4158325,1039.422729,1660786908016666.8,4.01666675
243.0,308.2380981,888.6190186,297.7069092,891.0344849,583.5,1039.333374,1660786908033333.2,4.03333325
244.0,308.2380981,888.6190186,297.7069092,891.0344849,583.4158325,1039.422729,1660786908050000.0,4.05
245.0,308.2380981,888.6190186,297.7069092,891.0344849,583.6132202,1039.682373,1660786908066666.5,4.0666665
246.0,308.2380981,888.6190186,297.7069092,891.0344849,583.3041992,1039.608398,1660786908083333.2,4.08333325
247.0,308.2380981,888.6190186,297.7069092,891.0344849,583.3041992,1039.608398,1660786908100000.0,4.1
248.0,290.2706909,884.9874878,312.440979,913.6138306,583.5,1039.842285,1660786908116666.5,4.1166665
249.0,290.2706909,884.9874878,312.440979,913.6138306,583.3174438,1039.682495,1660786908133333.5,4.1333335
250.0,290.2706909,884.9874878,312.440979,913.6138306,583.5,1039.842285,1660786908150000.0,4.15
251.0,290.2706909,884.9874878,312.440979,913.6138306,583.5,1039.842285,1660786908166666.8,4.16666675
252.0,290.2706909,884.9874878,312.440979,913.6138306,583.5710449,1039.762329,1660786908183333.5,4.1833335
253.0,290.2706909,884.9874878,312.440979,913.6138306,583.857605,1039.427246,1660786908200000.0,4.2
254.0,290.2706909,884.9874878,312.440979,913.6138306,583.857605,1039.427246,1660786908216666.8,4.21666675
255.0,290.2706909,884.9874878,312.440979,913.6138306,583.8422852,1039.5,1660786908233333.2,4.23333325
256.0,290.2706909,884.9874878,312.440979,913.6138306,583.9371338,1039.3396,1660786908250000.0,4.25
257.0,290.2706909,884.9874878,312.440979,913.6138306,583.9371338,1039.3396,1660786908266666.8,4.26666675
258.0,290.2706909,884.9874878,312.440979,913.6138306,584.2877197,1039.190918,1660786908283333.2,4.28333325
259.0,290.2706909,884.9874878,312.440979,913.6138306,584.2877197,1039.190918,1660786908300000.0,4.3
