Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters
55.0,282.0935364,1039.21106,737.0077515,1222.462036,461.4367676,1209.19043,1658965714900000.0,139.29274640943956,0.9,0.26980556754154605,0.7049037606945192,0.44133662385769745,-0.9939431204874344,-1.1692117005945473,-1.1565182045481142
56.0,282.7841187,1039.271606,737.1221313,1222.69104,461.4367676,1209.19043,1658965714916666.8,139.23890217806334,0.91666675,0.27046606813919694,0.7050131581208059,0.44133662385769745,-0.9940010291091661,-1.169430729201079,-1.1565182045481142
57.0,282.7876587,1038.724854,737.3404541,1222.72937,461.5,1208.5,1658965714933333.5,139.4220810460632,0.9333335,0.270469453937118,0.7052219707994407,0.4413971018600889,-0.9934780935766934,-1.1694673895497558,-1.155857849616289
58.0,283.3458252,1038.357056,737.3078003,1222.604248,461.5,1208.5,1658965714950000.0,139.24507507838746,0.95,0.2710033067550061,0.705190739396007,0.4413971018600889,-0.9931263168242125,-1.1693477178527267,-1.155857849616289
59.0,283.3665466,1037.792114,737.769104,1222.363647,461.8325195,1208.250366,1658965714966666.8,139.24263855753537,0.96666675,0.2710231255327017,0.7056319487486772,0.44171513684082986,-0.9925859836464898,-1.169117597410463,-1.1556190896506862
60.0,283.4571533,1037.729736,738.0504761,1222.258423,461.8325195,1208.250366,1658965714983333.2,139.1928871259128,0.98333325,0.2711097854130681,0.7059010643055228,0.44171513684082986,-0.9925263228265117,-1.1690169569583588,-1.1556190896506862
61.0,283.9852905,1037.455933,737.7217407,1222.3573,462.0014954,1208.385864,1658965715000000.0,139.06422202592992,1.0,0.2716149170045405,0.7055866485897292,0.44187675216595274,-0.9922644466603565,-1.1691115268852073,-1.1557486853700965
62.0,284.4136658,1037.482056,737.7431641,1222.58606,462.2724609,1208.304443,1658965715016666.8,139.12388448303315,1.01666675,0.27202463231532803,0.7056071387883682,0.4421359144333505,-0.9922894317448461,-1.169330322120357,-1.1556708110614713
63.0,285.0074463,1037.107788,737.666687,1222.210205,461.9969788,1207.931763,1658965715033333.2,138.98056630360333,1.03333325,0.27259254779060654,0.7055339930239075,0.4418724323086391,-0.9919314668249783,-1.1689708393300653,-1.1553143649684676
64.0,285.3357544,1037.06543,737.9014282,1222.187012,461.9969788,1207.931763,1658965715050000.0,138.9129875844374,1.05,0.2729065548195495,0.7057585089185276,0.4418724323086391,-0.9918909539356163,-1.1689486566150415,-1.1553143649684676
65.0,285.2205505,1036.276978,737.8462524,1222.168091,461.9969788,1207.931763,1658965715066666.5,138.79650022342113,1.0666665,0.27279636919098404,0.7057057365713709,0.4418724323086391,-0.9911368468332202,-1.1689305598120854,-1.1553143649684676
66.0,285.2700195,1036.065918,737.8462524,1222.168091,461.9969788,1207.931763,1658965715083333.2,138.75329734055254,1.08333325,0.2728436833258311,0.7057057365713709,0.4418724323086391,-0.990934980587676,-1.1689305598120854,-1.1553143649684676
67.0,285.721405,1035.532837,737.9295044,1222.262817,462.2306519,1207.883057,1658965715100000.0,138.66873404154757,1.1,0.27327540651439375,0.7057853621218022,0.44209592662959823,-0.9904251205476833,-1.1690211595561175,-1.1552677805974096
68.0,286.0513611,1035.366821,737.9295044,1222.262817,462.2306519,1207.883057,1658965715116666.5,138.5875699304061,1.1166665,0.27359098975660623,0.7057853621218022,0.44209592662959823,-0.9902663361895849,-1.1690211595561175,-1.1552677805974096
