Frame #,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
126.0,381.0888977,1851.141724,212.9944153,1073.363159,266.3097229,1381.400024,1660173590083333.2,0.2228596818156706,2.08333325
127.0,381.4491577,1851.98584,212.7744446,1073.608765,266.2217407,1381.60376,1660173590100000.0,0.2108179468233401,2.1
128.0,380.930542,1851.925903,212.7744446,1073.608765,265.9896545,1381.908325,1660173590116666.5,0.2463749536359831,2.1166665
129.0,381.2428894,1852.819092,212.2573853,1074.164551,265.7190552,1381.915527,1660173590133333.5,0.2391159837920332,2.1333335
130.0,381.921814,1852.946533,213.0,1077.0,265.5545349,1382.486328,1660173590150000.0,0.1938946875789184,2.15
131.0,381.6801758,1852.709473,211.8593445,1074.564575,265.2166748,1383.009033,1660173590166666.8,0.2075520602770766,2.16666675
132.0,381.8007507,1852.824951,211.358551,1075.117065,265.6921997,1383.180176,1660173590183333.5,0.2019395526694336,2.1833335
133.0,381.6863708,1852.953369,210.6806335,1075.177612,265.3347778,1383.457397,1660173590200000.0,0.2130269905356893,2.2
134.0,382.1463928,1853.5,210.3571472,1075.341309,265.3403015,1383.651367,1660173590216666.8,0.1897764657846204,2.21666675
135.0,382.422821,1854.140381,210.4527893,1075.400757,265.1368408,1383.640503,1660173590233333.2,0.1801807537281471,2.23333325
136.0,382.276947,1854.354858,210.3371887,1075.458618,264.9909973,1383.834839,1660173590250000.0,0.1939618969220777,2.25
137.0,381.8566589,1853.651123,210.1520081,1075.316895,264.8419495,1383.6698,1660173590266666.8,0.2127679990790586,2.26666675
138.0,382.5484009,1854.175659,210.0225983,1075.007568,264.7817078,1383.780273,1660173590283333.2,0.1723967984008175,2.28333325
139.0,382.5241089,1853.891602,209.7054749,1074.890625,265.0,1383.3396,1660173590300000.0,0.1701378042889665,2.3
140.0,382.5241089,1853.891602,209.8218689,1074.848267,265.2613831,1383.044067,1660173590316666.5,0.169923572604133,2.3166665
141.0,382.634613,1854.653809,210.0558624,1074.621948,265.3131409,1382.73877,1660173590333333.2,0.173485183397326,2.33333325
142.0,383.0925903,1854.12146,209.9465942,1074.697998,265.7391968,1382.509033,1660173590350000.0,0.133370049061598,2.35
143.0,384.1882019,1854.2948,210.3333282,1074.535889,265.6134338,1382.642822,1660173590366666.5,0.0586123448017409,2.3666665
144.0,384.4933472,1854.060059,210.4487915,1074.325928,265.7330627,1382.338867,1660173590383333.5,0.0332958771660112,2.3833335
145.0,384.9951477,1853.775024,208.0,1077.0,266.2518005,1381.941284,1660173590400000.0,0.001065616226899,2.4
146.0,384.7817383,1853.053589,208.0,1077.0,266.7746887,1381.523193,1660173590416666.8,0.002375210099356,2.41666675
147.0,385.9219055,1853.203857,212.5287323,1076.528687,267.2713623,1381.615723,1660173590433333.5,0.0830901067415425,2.4333335
148.0,386.078949,1852.631592,212.5287323,1076.528687,267.3652649,1381.43335,1660173590450000.0,0.1031158653677273,2.45
149.0,386.6478882,1852.936646,211.2469177,1073.701904,267.9364929,1381.399658,1660173590466666.8,0.1366832856063109,2.46666675
150.0,387.0,1852.56665,211.641449,1073.8396,267.9839783,1381.376953,1660173590483333.2,0.1678088799921231,2.48333325
151.0,388.293335,1852.483276,212.1217499,1073.810425,268.1217346,1381.265259,1660173590500000.0,0.2605008116874155,2.5
152.0,388.5229797,1852.124512,212.1217499,1073.810425,268.3486328,1380.798218,1660173590516666.8,0.2822653940036729,2.51666675
153.0,388.4179382,1852.094727,212.5572968,1073.578125,268.9656677,1380.834106,1660173590533333.2,0.276131976700571,2.53333325
