Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds
132.0,361.1673584,903.1385498,941.81427,1117.014038,606.7431641,1102.335327,1660091104225003.5,143.4614455503417,2.1833335
133.0,361.1673584,903.1385498,941.5578003,1116.703369,606.6414185,1102.641479,1660091104241670.2,143.30259740843704,2.20000025
134.0,361.1673584,903.1385498,941.6988525,1116.599487,606.7431641,1102.335327,1660091104258336.8,143.39152996112523,2.21666675
135.0,361.1673584,903.1385498,941.81427,1117.014038,606.6414185,1102.641479,1660091104275003.5,143.35377149396564,2.2333335
136.0,361.1673584,903.1385498,941.81427,1117.014038,606.7431641,1102.335327,1660091104291670.0,143.4614455503417,2.25
137.0,360.9827576,903.3376465,941.81427,1117.014038,606.7431641,1102.335327,1660091104308336.8,143.5105317704476,2.26666675
138.0,361.1210938,903.1210938,941.81427,1117.014038,606.7431641,1102.335327,1660091104325003.5,143.4642696052189,2.2833335
139.0,361.1210938,903.1210938,941.8046265,1116.695313,606.6806641,1102.265503,1660091104341670.0,143.424093176764,2.3
140.0,361.1210938,903.1210938,941.8046265,1116.695313,606.6806641,1102.265503,1660091104358336.8,143.424093176764,2.31666675
141.0,361.1210938,903.1210938,941.81427,1117.014038,606.7431641,1102.335327,1660091104375003.2,143.4642696052189,2.33333325
142.0,360.9358826,903.317688,941.81427,1117.014038,606.7431641,1102.335327,1660091104391670.0,143.5130656185975,2.35
143.0,360.9358826,903.317688,941.8046265,1116.695313,606.5617065,1102.561646,1660091104408336.8,143.36625099911473,2.36666675
144.0,360.9358826,903.317688,941.81427,1117.014038,606.7431641,1102.335327,1660091104425003.5,143.5130656185975,2.3833335
145.0,360.9358826,903.317688,941.81427,1117.014038,606.7431641,1102.335327,1660091104441670.2,143.5130656185975,2.40000025
146.0,360.9358826,903.317688,941.81427,1117.014038,606.7431641,1102.335327,1660091104458336.8,143.5130656185975,2.41666675
147.0,361.1210938,903.1210938,941.6448364,1116.385742,606.7431641,1102.335327,1660091104475003.5,143.35824406787754,2.4333335
148.0,361.1210938,903.1210938,941.8046265,1116.695313,606.7431641,1102.335327,1660091104491670.2,143.40994163212514,2.45000025
149.0,361.1210938,903.1210938,941.6988525,1116.599487,606.5,1102.5,1660091104508336.8,143.31355484308804,2.46666675
150.0,360.9358826,903.317688,941.6988525,1116.599487,606.6806641,1102.265503,1660091104525003.5,143.45732247360397,2.4833335
151.0,360.9358826,903.317688,941.8046265,1116.695313,606.7431641,1102.335327,1660091104541670.0,143.45873764550373,2.5
152.0,360.9358826,903.317688,941.6988525,1116.599487,606.5170288,1102.443237,1660091104558336.8,143.38210823525102,2.51666675
153.0,360.9358826,903.317688,941.8046265,1116.695313,606.5170288,1102.443237,1660091104575003.5,143.39769212949454,2.5333335
154.0,360.9358826,903.317688,941.6998901,1116.559082,606.5170288,1102.443237,1660091104591670.0,143.37520623557646,2.55
155.0,360.9358826,903.317688,941.6998901,1116.559082,606.5170288,1102.443237,1660091104608336.8,143.37520623557646,2.56666675
156.0,360.8146667,903.1853638,941.6998901,1116.559082,606.5170288,1102.443237,1660091104625003.2,143.37041762138003,2.58333325
157.0,360.9358826,903.317688,941.5945435,1116.462524,606.5791626,1102.50647,1660091104641670.0,143.34732142615792,2.6
158.0,360.9358826,903.317688,941.5945435,1116.462524,606.5,1102.5,1660091104658336.8,143.33973860674686,2.61666675
159.0,360.9358826,903.317688,941.6998901,1116.559082,606.5,1102.5,1660091104675003.5,143.35546549685358,2.6333335
160.0,360.9358826,903.317688,941.5945435,1116.462524,606.5,1102.5,1660091104691670.2,143.33973860674686,2.65000025
161.0,360.9358826,903.317688,941.538147,1116.25,606.5,1102.5,1660091104708336.8,143.30385752756135,2.66666675
162.0,360.9358826,903.317688,941.6998901,1116.559082,606.5,1102.5,1660091104725003.5,143.35546549685358,2.6833335
163.0,360.9358826,903.317688,941.5945435,1116.462524,606.5,1102.5,1660091104741670.2,143.33973860674686,2.70000025
164.0,360.9302673,903.241272,941.6988525,1116.599487,606.5,1102.5,1660091104758336.8,143.35225566533626,2.71666675
165.0,360.8614502,903.1673584,941.8046265,1116.695313,606.5,1102.5,1660091104775003.5,143.36530001530923,2.7333335
166.0,360.9302673,903.241272,941.93573,1116.223511,606.5,1102.5,1660091104791670.0,143.28644656697634,2.75
167.0,361.0,903.1393433,941.8012695,1116.015381,606.5617065,1102.561646,1660091104808336.8,143.2178620743119,2.76666675
168.0,360.752594,903.1540527,941.93573,1116.223511,606.5617065,1102.561646,1660091104825003.5,143.2827405222986,2.7833335
169.0,360.752594,903.1540527,941.6998901,1115.941528,606.5617065,1102.561646,1660091104841670.0,143.23625032646137,2.8
170.0,360.8304443,903.0478516,941.7755127,1116.282227,606.5617065,1102.561646,1660091104858336.8,143.27006634553598,2.81666675
171.0,360.7723999,903.104248,941.6459351,1116.167358,606.5617065,1102.561646,1660091104875003.2,143.26591041379493,2.83333325
172.0,360.752594,903.1540527,941.6448364,1116.385742,606.5617065,1102.561646,1660091104891670.0,143.31245662792867,2.85
173.0,360.752594,903.1540527,941.6448364,1116.385742,606.5617065,1102.561646,1660091104908336.8,143.31245662792867,2.86666675
174.0,360.752594,903.1540527,941.7040405,1116.326172,606.4680786,1102.384766,1660091104925003.5,143.34559238384216,2.8833335
175.0,361.1420898,903.536499,941.7040405,1116.326172,606.4680786,1102.384766,1660091104941670.2,143.35498334617037,2.90000025
176.0,360.7723999,903.104248,941.836792,1116.440674,606.4680786,1102.384766,1660091104958336.8,143.35491306691893,2.91666675
177.0,360.8577576,903.2040405,941.7040405,1116.326172,606.4680786,1102.384766,1660091104975003.5,143.3406270357117,2.9333335
178.0,361.0926819,903.5336304,941.8822632,1116.241577,606.5618286,1102.063599,1660091104991670.2,143.4559719812171,2.95000025
179.0,361.0641174,903.317688,941.9295044,1116.471313,606.557251,1102.088867,1660091105008336.8,143.45918409007336,2.96666675
180.0,361.157135,903.4581299,941.6448364,1116.385742,606.557251,1102.21875,1660091105025003.5,143.41536346158475,2.9833335
181.0,361.157135,903.4581299,941.81427,1117.014038,606.557251,1102.21875,1660091105041670.0,143.52131787093364,3.0
182.0,361.0641174,903.317688,941.6448364,1116.385742,606.612793,1102.151489,1660091105058336.8,143.43388980601802,3.01666675
183.0,361.0,903.2493286,941.9352417,1116.730103,606.612793,1102.151489,1660091105075003.5,143.48820093194863,3.0333335
184.0,361.0,903.2493286,941.8046265,1116.695313,606.557251,1102.21875,1660091105091670.0,143.45553640589264,3.05
185.0,361.0375061,903.1569214,941.8046265,1116.695313,606.5270386,1102.328125,1660091105108336.8,143.40051545629612,3.06666675
186.0,361.0375061,903.1569214,941.8046265,1116.695313,606.557251,1102.21875,1660091105125003.2,143.4382416148104,3.08333325
187.0,361.1633301,902.9799194,941.8046265,1116.695313,606.612793,1102.151489,1660091105141670.0,143.4266519549468,3.1
188.0,361.225708,902.8674316,941.8046265,1116.695313,606.557251,1102.21875,1660091105158336.8,143.3760015405848,3.11666675
189.0,361.3093262,902.8973389,941.8046265,1116.695313,606.4680786,1102.384766,1660091105175003.5,143.30812949849576,3.1333335
190.0,361.4417725,902.538147,942.1556396,1116.387085,606.5617065,1102.561646,1660091105191670.2,143.14384058717076,3.15000025
191.0,361.4526672,902.7023315,942.1556396,1116.387085,606.5617065,1102.561646,1660091105208336.8,143.16563805359232,3.16666675
192.0,361.8165894,902.5541992,942.1438599,1116.179443,606.5617065,1102.561646,1660091105225003.5,143.06782837859726,3.1833335
193.0,361.9401245,902.7537231,942.1438599,1116.179443,606.5617065,1102.561646,1660091105241670.2,143.0816738537481,3.20000025
194.0,361.9190674,902.522644,942.1438599,1116.179443,606.5617065,1102.561646,1660091105258336.8,143.05164117034178,3.21666675
195.0,361.9391479,902.2794189,942.1438599,1116.179443,606.5,1102.5,1660091105275003.5,143.0268532639553,3.2333335
196.0,362.0221252,902.2877197,942.1438599,1116.179443,606.5617065,1102.561646,1660091105291670.0,143.00684957204322,3.25
197.0,362.0993042,902.2113647,942.0176392,1116.054321,606.5,1102.5,1660091105308336.8,142.97845422164485,3.26666675
198.0,362.1228943,902.1934814,942.0176392,1116.054321,606.5617065,1102.561646,1660091105325003.5,142.96159616464135,3.2833335
199.0,362.2618103,901.9595337,942.0176392,1116.054321,606.5,1102.5,1660091105341670.0,142.92446463052698,3.3
200.0,362.170929,902.1951294,942.0176392,1116.054321,606.5617065,1102.561646,1660091105358336.8,142.9563064203104,3.31666675
201.0,362.3088379,901.9591675,942.0176392,1116.054321,606.5,1102.5,1660091105375003.2,142.91900206457515,3.33333325
202.0,362.3170166,901.9265137,942.1438599,1116.179443,606.5617065,1102.561646,1660091105391670.0,142.92232589138544,3.35
203.0,362.3170166,901.9265137,942.1438599,1116.179443,606.5,1102.5,1660091105408336.8,142.9339401617084,3.36666675
